claim_id,policy_id,claimant_id,repair_shop_id,policy_start_date,incident_date,claim_report_date,claim_type,damage_area,estimated_repair_cost,incident_city,prior_claims_12m,linked_claims_same_phone,linked_claims_same_repair_shop,claimant_narrative,adjuster_note,fraud_pattern_type,is_suspicious,days_since_policy_start,reporting_delay_days,repair_cost_band,adjuster_suspicious_keyword_hits,rule_score,rule_hits,rule_score_normalized,anomaly_prediction,anomaly_decision_score,anomaly_score_raw,anomaly_score_normalized,final_score,risk_level,review_decision
CLM-00186,POL-8230,CUST-8479,SHOP-001,2025-03-14,2025-07-25,2025-07-30,collision,left side,2151,Longueuil,0,1,2,Another driver struck my vehicle on the left side while I was driving in Longueuil.,Observed damage aligns with reported incident details.,normal,0,133,5,low,0,0,[],0.0,1,0.006637582685268373,-0.006637582685268373,56.96578206099156,22.786312824396624,low,approve_or_fast_track
CLM-00078,POL-4522,CUST-8046,SHOP-015,2024-08-21,2025-11-17,2025-11-19,theft,right side,8407,Sherbrooke,0,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Observed damage aligns with reported incident details.,normal,0,453,2,very_high,0,2,"[""repair estimate above normal threshold""]",10.526315789473683,1,0.10529909691598555,-0.10529909691598555,21.210586865359176,14.800024219827879,low,approve_or_fast_track
CLM-00928,POL-1594,CUST-7249,SHOP-003,2024-02-19,2024-11-09,2024-11-09,vandalism,rear,2178,Gatineau,3,21,73,I found damage on the rear of my vehicle while parked in Gatineau.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1,264,0,low,1,8,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language""]",42.10526315789473,-1,-0.04609811331199787,0.04609811331199787,76.07733856670683,55.69409332141957,medium,review_with_slm
CLM-00973,POL-9153,CUST-1023,SHOP-004,2025-02-19,2026-01-17,2026-01-18,vandalism,left side,2025,Gatineau,0,0,43,Another vehicle struck me on the left side in Gatineau.,Inspection found primary damage on the front. Damage pattern does not match the claimant statement.,narrative_inconsistency,1,332,1,low,1,7,"[""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""narrative inconsistency detected""]",36.84210526315789,1,0.03312359871251869,-0.03312359871251869,47.36717940023753,41.05213491798975,medium,review_with_slm
CLM-00063,POL-7141,CUST-8056,SHOP-005,2024-09-07,2025-12-02,2025-12-06,vandalism,rear,2496,Laval,0,0,2,I found damage on the rear of my vehicle while parked in Laval.,Claim details and visible damage are coherent.,normal,0,451,4,low,0,0,[],0.0,1,0.12085917551330044,-0.12085917551330044,15.571572992073607,6.228629196829443,low,approve_or_fast_track
CLM-00309,POL-5581,CUST-8384,SHOP-006,2025-08-08,2025-10-10,2025-10-14,vandalism,rear,2209,Sherbrooke,1,0,2,My parked car was vandalized in Sherbrooke and the rear was damaged.,Claim details and visible damage are coherent.,normal,0,63,4,low,0,0,[],0.0,1,0.13786318624130756,-0.13786318624130756,9.409274273783382,3.763709709513353,low,approve_or_fast_track
CLM-00026,POL-8119,CUST-6663,SHOP-024,2024-11-17,2025-07-28,2025-08-01,vandalism,front,3377,Gatineau,0,1,2,I found damage on the front of my vehicle while parked in Gatineau.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,253,4,medium,0,0,[],0.0,1,0.026208996428078724,-0.026208996428078724,49.873049660876035,19.949219864350415,low,approve_or_fast_track
CLM-00162,POL-6909,CUST-2745,SHOP-003,2024-01-06,2024-12-16,2024-12-19,theft,left side,5837,Laval,0,0,2,My car was stolen in Laval and later found with damage.,Observed damage aligns with reported incident details.,normal,0,345,3,high,0,1,"[""brief theft narrative with limited detail""]",5.263157894736842,1,0.13257797982533376,-0.13257797982533376,11.324647137516674,7.687753591848775,low,approve_or_fast_track
CLM-00879,POL-6639,CUST-1989,SHOP-019,2025-03-16,2025-05-25,2025-05-30,vandalism,right side,1549,Sherbrooke,4,20,58,I found damage on the right side of my vehicle while parked in Sherbrooke.,Repeated entity pattern detected across recent claims.,repeated_entity,1,70,5,low,0,6,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims""]",31.57894736842105,-1,-0.08737001973502945,0.08737001973502945,91.03438723717949,55.361123315924424,medium,review_with_slm
CLM-00915,POL-7774,CUST-6926,SHOP-003,2024-09-25,2025-12-15,2025-12-15,theft,front,7625,Quebec City,4,15,73,My car was stolen in Quebec City and later found with damage.,Repeated entity pattern detected across recent claims.,repeated_entity,1,446,0,high,0,6,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims""]",31.57894736842105,-1,-0.10049034544963642,0.10049034544963642,95.7892281760589,57.263059691476194,medium,review_with_slm
CLM-00771,POL-7337,CUST-8875,SHOP-002,2024-09-24,2025-12-29,2025-12-30,collision,right side,9317,Montreal,1,0,21,I was driving in Montreal when another vehicle hit the right side of my car.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1,461,1,very_high,1,6,"[""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language""]",31.57894736842105,1,0.06750426861856851,-0.06750426861856851,34.90753317412386,32.910381690702174,medium,review_with_slm
CLM-00328,POL-4812,CUST-6189,SHOP-018,2025-10-22,2026-02-25,2026-02-27,theft,rear,5174,Sherbrooke,1,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Claim details and visible damage are coherent.,normal,0,126,2,high,0,0,[],0.0,1,0.14620708130985083,-0.14620708130985083,6.385424506284528,2.5541698025138113,low,approve_or_fast_track
CLM-00789,POL-1112,CUST-1529,SHOP-022,2025-11-24,2026-02-14,2026-02-18,theft,right side,11938,Quebec City,1,0,23,My car was stolen in Quebec City and later found with damage.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1,82,4,very_high,0,5,"[""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""single-area damage with unusually high repair cost""]",26.31578947368421,1,0.09811058425479058,-0.09811058425479058,23.81572297513194,25.3157628742633,low,approve_or_fast_track
CLM-00818,POL-3297,CUST-8697,SHOP-025,2024-02-09,2024-05-11,2024-05-15,collision,left side,10990,Gatineau,1,0,28,I was driving in Gatineau when another vehicle hit the left side of my car.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1,92,4,very_high,0,5,"[""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""single-area damage with unusually high repair cost""]",26.31578947368421,1,0.11697545580860369,-0.11697545580860369,16.9790433437026,22.581091021691563,low,approve_or_fast_track
CLM-00327,POL-7084,CUST-2466,SHOP-008,2024-06-10,2025-12-03,2025-12-03,vandalism,left side,1745,Montreal,1,0,2,My parked car was vandalized in Montreal and the left side was damaged.,Claim details and visible damage are coherent.,normal,0,541,0,low,0,0,[],0.0,1,0.03871583039410775,-0.03871583039410775,45.340539763561814,18.136215905424727,low,approve_or_fast_track
CLM-00251,POL-6123,CUST-7979,SHOP-024,2024-04-28,2024-09-02,2024-09-02,collision,rear,4450,Laval,1,1,2,I lost control briefly and damaged the rear of my vehicle in Laval.,Observed damage aligns with reported incident details.,normal,0,127,0,medium,0,0,[],0.0,1,0.013383820898382637,-0.013383820898382637,54.52092738764785,21.808370955059143,low,approve_or_fast_track
CLM-00102,POL-2821,CUST-5720,SHOP-008,2024-11-04,2025-02-04,2025-02-04,collision,right side,3372,Montreal,0,0,2,I lost control briefly and damaged the right side of my vehicle in Montreal.,Claim details and visible damage are coherent.,normal,0,92,0,medium,0,0,[],0.0,1,0.13483296597571515,-0.13483296597571515,10.507434158382894,4.202973663353158,low,approve_or_fast_track
CLM-00760,POL-7214,CUST-5703,SHOP-006,2024-10-12,2025-01-21,2025-01-25,theft,right side,8757,Laval,1,0,35,My car was stolen in Laval and later found with damage.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1,101,4,very_high,1,7,"[""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""brief theft narrative with limited detail""]",36.84210526315789,1,0.1158725573548759,-0.1158725573548759,17.37873667702994,29.056757828706708,low,approve_or_fast_track
CLM-00648,POL-6830,CUST-3122,SHOP-023,2025-11-21,2025-11-25,2025-11-29,theft,front,7645,Laval,0,0,27,I discovered my vehicle missing in Laval and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1,4,4,high,1,7,"[""claim filed shortly after policy start"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language""]",36.84210526315789,1,0.11211258316583034,-0.11211258316583034,18.74136132462538,29.601807687744884,low,approve_or_fast_track
CLM-00470,POL-3374,CUST-6947,SHOP-016,2025-01-11,2025-07-17,2025-07-17,vandalism,front,2023,Sherbrooke,0,0,2,I found damage on the front of my vehicle while parked in Sherbrooke.,Claim details and visible damage are coherent.,normal,0,187,0,low,0,0,[],0.0,1,0.11289493846281978,-0.11289493846281978,18.457833683940887,7.383133473576355,low,approve_or_fast_track
CLM-00598,POL-9775,CUST-4110,SHOP-028,2025-02-01,2025-10-05,2025-10-07,theft,rear,9257,Sherbrooke,0,0,2,My car was stolen in Sherbrooke and later found with damage.,Observed damage aligns with reported incident details.,normal,0,246,2,very_high,0,2,"[""repair estimate above normal threshold""]",10.526315789473683,1,0.1304274159891407,-0.1304274159891407,12.104017192226523,11.15739635057482,low,approve_or_fast_track
CLM-00152,POL-5026,CUST-9180,SHOP-018,2025-11-01,2026-02-26,2026-02-28,theft,right side,10927,Sherbrooke,1,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,117,2,very_high,0,3,"[""repair estimate above normal threshold"", ""single-area damage with unusually high repair cost""]",15.789473684210526,1,0.13006723211745347,-0.13006723211745347,12.234548785410668,14.367503724690582,low,approve_or_fast_track
CLM-00035,POL-7389,CUST-7865,SHOP-018,2025-07-13,2026-03-04,2026-03-08,collision,right side,2398,Longueuil,1,0,2,I lost control briefly and damaged the right side of my vehicle in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,234,4,low,0,0,[],0.0,1,0.1481799036053425,-0.1481799036053425,5.670468458715182,2.268187383486073,low,approve_or_fast_track
CLM-00062,POL-4846,CUST-5708,SHOP-008,2024-04-02,2025-07-20,2025-07-20,vandalism,front,3617,Laval,1,0,2,My parked car was vandalized in Laval and the front was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,474,0,medium,0,0,[],0.0,1,0.08996297699325484,-0.08996297699325484,26.7684375192481,10.707375007699241,low,approve_or_fast_track
CLM-00514,POL-8802,CUST-4519,SHOP-015,2024-03-20,2025-05-02,2025-05-07,vandalism,right side,3909,Gatineau,1,0,2,I found damage on the right side of my vehicle while parked in Gatineau.,Claim details and visible damage are coherent.,normal,0,408,5,medium,0,0,[],0.0,1,0.1019758199062234,-0.1019758199062234,22.414951293573157,8.965980517429264,low,approve_or_fast_track
CLM-00214,POL-6435,CUST-4300,SHOP-026,2024-05-13,2025-05-26,2025-05-31,collision,left side,1743,Montreal,0,0,2,Another driver struck my vehicle on the left side while I was driving in Montreal.,Claim details and visible damage are coherent.,normal,0,378,5,low,0,0,[],0.0,1,0.10336132070203946,-0.10336132070203946,21.912842119754252,8.765136847901701,low,approve_or_fast_track
CLM-00952,POL-1554,CUST-6967,SHOP-006,2025-02-04,2025-06-12,2025-06-14,collision,front,1928,Longueuil,1,0,35,Another vehicle struck me on the front in Longueuil.,Inspection found primary damage on the rear. Damage pattern does not match the claimant statement.,narrative_inconsistency,1,128,2,low,1,7,"[""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""narrative inconsistency detected""]",36.84210526315789,1,0.08925920591012254,-0.08925920591012254,27.023486031797717,32.91465757061382,medium,review_with_slm
CLM-00897,POL-1819,CUST-1183,SHOP-019,2024-01-01,2024-12-06,2024-12-09,theft,rear,5796,Montreal,4,21,58,My car was stolen in Montreal and later found with damage.,Claim linked to multiple prior files sharing the same contact number and repair shop.,repeated_entity,1,340,3,high,1,9,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""brief theft narrative with limited detail""]",47.368421052631575,-1,-0.045652278584092265,0.045652278584092265,75.91576687539892,58.78735938173851,medium,review_with_slm
CLM-00143,POL-1056,CUST-1372,SHOP-010,2025-04-19,2026-02-21,2026-02-24,vandalism,right side,2440,Laval,1,0,2,I found damage on the right side of my vehicle while parked in Laval.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,308,3,low,0,0,[],0.0,1,0.14283053158427284,-0.14283053158427284,7.60909510841494,3.043638043365976,low,approve_or_fast_track
CLM-00694,POL-5997,CUST-2402,SHOP-010,2025-08-03,2025-08-10,2025-08-14,vandalism,rear,10821,Quebec City,0,0,39,My parked car was vandalized in Quebec City and the rear was damaged.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1,7,4,very_high,2,10,"[""claim filed shortly after policy start"", ""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""single-area damage with unusually high repair cost""]",52.63157894736842,1,0.10044031194902853,-0.10044031194902853,22.971423461692954,40.76751675309823,medium,review_with_slm
CLM-00851,POL-3898,CUST-8220,SHOP-019,2024-06-30,2025-12-31,2026-01-01,theft,front,10096,Montreal,2,18,58,I discovered my vehicle missing in Montreal and reported it immediately.,Repeated entity pattern detected across recent claims.,repeated_entity,1,549,1,very_high,0,9,"[""repair estimate above normal threshold"", ""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""single-area damage with unusually high repair cost""]",47.368421052631575,-1,-0.08221006795586616,0.08221006795586616,89.16440698700214,64.0868154263798,high,priority_investigation
CLM-00003,POL-7201,CUST-2291,SHOP-018,2024-10-27,2026-01-24,2026-01-29,vandalism,left side,3864,Laval,0,0,2,My parked car was vandalized in Laval and the left side was damaged.,Claim details and visible damage are coherent.,normal,0,454,5,medium,0,0,[],0.0,1,0.10550375227583048,-0.10550375227583048,21.13641921857062,8.454567687428248,low,approve_or_fast_track
CLM-00212,POL-5366,CUST-9743,SHOP-027,2024-02-27,2024-11-07,2024-11-11,theft,left side,11874,Laval,0,0,2,My car was stolen in Laval and later found with damage.,Claim details and visible damage are coherent.,normal,0,254,4,very_high,0,4,"[""repair estimate above normal threshold"", ""brief theft narrative with limited detail"", ""single-area damage with unusually high repair cost""]",21.052631578947366,1,0.10020748541477281,-0.10020748541477281,23.055800417022958,21.8538991141776,low,approve_or_fast_track
CLM-00905,POL-5962,CUST-4428,SHOP-003,2025-10-15,2025-12-08,2025-12-09,collision,front,1927,Longueuil,3,20,73,I was driving in Longueuil when another vehicle hit the front of my car.,Repeated entity pattern detected across recent claims.,repeated_entity,1,54,1,low,0,6,"[""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims""]",31.57894736842105,-1,-0.047403225748091526,0.047403225748091526,76.55031478513028,49.56749433510474,medium,review_with_slm
CLM-00599,POL-3370,CUST-5863,SHOP-027,2024-08-12,2026-02-04,2026-02-09,theft,rear,9927,Longueuil,0,1,2,My car was stolen in Longueuil and later found with damage.,Claim details and visible damage are coherent.,normal,0,541,5,very_high,0,3,"[""repair estimate above normal threshold"", ""brief theft narrative with limited detail""]",15.789473684210526,-1,-0.046040044414331405,0.046040044414331405,76.05629424372995,39.8962019080183,medium,review_with_slm
CLM-00227,POL-2425,CUST-7358,SHOP-018,2025-02-10,2025-12-19,2025-12-21,theft,right side,5101,Sherbrooke,1,0,2,My car was stolen in Sherbrooke and later found with damage.,Observed damage aligns with reported incident details.,normal,0,312,2,high,0,0,[],0.0,1,0.1341658126500565,-0.1341658126500565,10.749212298221268,4.299684919288508,low,approve_or_fast_track
CLM-00333,POL-4616,CUST-2161,SHOP-001,2024-08-01,2026-01-16,2026-01-16,theft,front,7956,Gatineau,1,0,2,I discovered my vehicle missing in Gatineau and reported it immediately.,Claim details and visible damage are coherent.,normal,0,533,0,high,0,0,[],0.0,1,0.056827273460508865,-0.056827273460508865,38.77690462008114,15.510761848032457,low,approve_or_fast_track
CLM-00071,POL-7367,CUST-8432,SHOP-012,2025-11-17,2026-03-22,2026-03-27,vandalism,right side,3905,Sherbrooke,0,0,2,I found damage on the right side of my vehicle while parked in Sherbrooke.,Claim details and visible damage are coherent.,normal,0,125,5,medium,0,0,[],0.0,1,0.1416009383075843,-0.1416009383075843,8.054702982589934,3.2218811930359736,low,approve_or_fast_track
CLM-00249,POL-3627,CUST-1645,SHOP-018,2025-05-23,2025-10-06,2025-10-11,theft,left side,6921,Montreal,0,0,2,My car was stolen in Montreal and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,136,5,high,0,1,"[""brief theft narrative with limited detail""]",5.263157894736842,1,0.130479092389091,-0.130479092389091,12.085289527425944,7.992010547812482,low,approve_or_fast_track
CLM-00747,POL-8134,CUST-5820,SHOP-024,2025-11-23,2025-12-02,2025-12-06,theft,left side,8725,Sherbrooke,0,0,24,My car was stolen in Sherbrooke and later found with damage.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1,9,4,very_high,2,9,"[""claim filed shortly after policy start"", ""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language""]",47.368421052631575,1,0.11664773790616634,-0.11664773790616634,17.097809183271504,35.26017630488755,medium,review_with_slm
CLM-00107,POL-1783,CUST-6438,SHOP-009,2024-05-07,2025-06-17,2025-06-20,theft,right side,8167,Longueuil,0,0,2,I discovered my vehicle missing in Longueuil and reported it immediately.,Claim details and visible damage are coherent.,normal,0,406,3,very_high,0,2,"[""repair estimate above normal threshold""]",10.526315789473683,1,0.11343707194828373,-0.11343707194828373,18.26136306674032,13.620334700380337,low,approve_or_fast_track
CLM-00098,POL-6070,CUST-8684,SHOP-029,2024-07-17,2025-08-27,2025-09-01,vandalism,right side,3391,Longueuil,1,0,2,I found damage on the right side of my vehicle while parked in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,406,5,medium,0,0,[],0.0,1,0.1054909972067733,-0.1054909972067733,21.14104168952527,8.45641667581011,low,approve_or_fast_track
CLM-00675,POL-8565,CUST-5659,SHOP-005,2025-02-16,2025-02-23,2025-02-26,vandalism,front,10279,Sherbrooke,0,0,35,My parked car was vandalized in Sherbrooke and the front was damaged.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1,7,3,very_high,1,10,"[""claim filed shortly after policy start"", ""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""single-area damage with unusually high repair cost""]",52.63157894736842,1,0.12061004314033597,-0.12061004314033597,15.661859226724998,37.843691059111045,medium,review_with_slm
CLM-00745,POL-1091,CUST-5393,SHOP-023,2024-08-02,2024-08-10,2024-08-11,theft,left side,10077,Laval,1,0,27,I discovered my vehicle missing in Laval and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1,8,1,very_high,1,10,"[""claim filed shortly after policy start"", ""repair estimate above normal threshold"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""single-area damage with unusually high repair cost""]",52.63157894736842,1,0.11833885700810443,-0.11833885700810443,16.484943122373025,38.172924617370256,medium,review_with_slm
CLM-00992,POL-1802,CUST-6999,SHOP-014,2024-06-23,2024-07-03,2024-07-07,vandalism,front,9497,Sherbrooke,3,15,56,I was hit on the front while driving in Sherbrooke.,"Claim reported shortly after policy start. Estimate is unusually high. Observed damage on the left side, inconsistent with claimant statement. Repair shop is linked to several flagged claims.",mixed,1,10,4,very_high,5,16,"[""claim filed shortly after policy start"", ""repair estimate above normal threshold"", ""multiple prior claims in the last 12 months"", ""same phone number linked to multiple claims"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""narrative inconsistency detected""]",84.21052631578947,-1,-0.04468576356239362,0.04468576356239362,75.5654992606172,80.75251549372055,high,priority_investigation
CLM-00492,POL-5073,CUST-9570,SHOP-014,2024-10-29,2025-09-15,2025-09-15,vandalism,front,1984,Gatineau,0,1,2,I found damage on the front of my vehicle while parked in Gatineau.,Observed damage aligns with reported incident details.,normal,0,321,0,low,0,0,[],0.0,1,0.0027397519829357453,-0.0027397519829357453,58.378366275698866,23.351346510279548,low,approve_or_fast_track
CLM-00798,POL-1997,CUST-4403,SHOP-008,2024-09-06,2026-02-06,2026-02-09,collision,front,9617,Sherbrooke,0,0,29,I was driving in Sherbrooke when another vehicle hit the front of my car.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1,518,3,very_high,0,4,"[""repair estimate above normal threshold"", ""repair shop linked to multiple claims""]",21.052631578947366,1,0.05046565786708601,-0.05046565786708601,41.082371032957205,29.064527360551303,low,approve_or_fast_track
CLM-00410,POL-8978,CUST-2322,SHOP-001,2024-01-08,2024-08-08,2024-08-08,vandalism,left side,3204,Sherbrooke,1,0,2,My parked car was vandalized in Sherbrooke and the left side was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0,213,0,medium,0,0,[],0.0,1,0.13862141712668213,-0.13862141712668213,9.134489384038758,3.6537957536155035,low,approve_or_fast_track
CLM-00484,POL-3679,CUST-8653,SHOP-014,2024-04-28,2025-10-16,2025-10-16,theft,left side,10808,Gatineau,1,0,2,I discovered my vehicle missing in Gatineau and reported it immediately.,Observed damage aligns with reported incident details.,normal,0,536,0,very_high,0,3,"[""repair estimate above normal threshold"", ""single-area damage with unusually high repair cost""]",15.789473684210526,1,0.03996773886981908,-0.03996773886981908,44.88684480190281,27.42842213128744,low,approve_or_fast_track
CLM-00080,POL-6793,CUST-7929,SHOP-028,2024-02-22,2025-01-11,2025-01-15,theft,left side,5848,Gatineau,0,0,2,My car was stolen in Gatineau and later found with damage.,Claim details and visible damage are coherent.,normal,0,324,4,high,0,1,"[""brief theft narrative with limited detail""]",5.263157894736842,1,0.12648305433054746,-0.12648305433054746,13.533464349254457,8.571280476543889,low,approve_or_fast_track
CLM-00752,POL-7181,CUST-7316,SHOP-023,2025-04-30,2025-11-27,2025-11-29,vandalism,left side,12014,Montreal,0,0,27,My parked car was vandalized in Montreal and the left side was damaged.,"Observed damage appears moderate, but submitted estimate is unusually high.",inflated_repair,1,211,2,very_high,1,8,"[""repair estimate above normal threshold"", ""repair estimate exceptionally high"", ""repair shop linked to multiple claims"", ""adjuster note contains suspicious language"", ""single-area damage with unusually high repair cost""]",42.10526315789473,1,0.09833957933756632,-0.09833957933756632,23.732734548009894,34.7562517139408,medium,review_with_slm
