claim_id,policy_id,claimant_id,repair_shop_id,policy_start_date,incident_date,claim_report_date,claim_type,damage_area,estimated_repair_cost,incident_city,prior_claims_12m,linked_claims_same_phone,linked_claims_same_repair_shop,claimant_narrative,adjuster_note,fraud_pattern_type,is_suspicious
CLM-00985,POL-8364,CUST-4696,SHOP-003,2024-05-17,2024-05-21,2024-05-24,vandalism,rear,15262,Sherbrooke,5,20,73,I was hit on the rear while driving in Sherbrooke.,"Claim reported shortly after policy start. Estimate is unusually high. Observed damage on the front, inconsistent with claimant statement. Repair shop is linked to several flagged claims.",mixed,1
CLM-00815,POL-8185,CUST-7540,SHOP-007,2024-07-29,2025-09-21,2025-09-25,collision,front,11400,Gatineau,0,0,31,I was driving in Gatineau when another vehicle hit the front of my car.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00211,POL-5430,CUST-3946,SHOP-001,2024-11-22,2025-10-23,2025-10-24,collision,left side,1739,Quebec City,1,0,2,Another driver struck my vehicle on the left side while I was driving in Quebec City.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00804,POL-6798,CUST-6166,SHOP-015,2024-11-11,2025-07-16,2025-07-20,theft,right side,8159,Quebec City,0,0,28,I discovered my vehicle missing in Quebec City and reported it immediately.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00267,POL-4695,CUST-7025,SHOP-025,2025-08-25,2026-02-10,2026-02-15,vandalism,rear,2592,Longueuil,1,0,2,My parked car was vandalized in Longueuil and the rear was damaged.,Claim details and visible damage are coherent.,normal,0
CLM-00932,POL-7183,CUST-3226,SHOP-001,2024-10-21,2025-07-13,2025-07-17,theft,right side,9508,Gatineau,1,0,33,Another vehicle struck me on the right side in Gatineau.,Inspection found primary damage on the left side. Damage pattern does not match the claimant statement.,narrative_inconsistency,1
CLM-00710,POL-1351,CUST-1906,SHOP-001,2024-07-19,2024-07-29,2024-07-31,theft,front,7946,Quebec City,0,0,33,I discovered my vehicle missing in Quebec City and reported it immediately.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00037,POL-6363,CUST-4467,SHOP-015,2024-11-30,2025-06-20,2025-06-23,theft,right side,7066,Montreal,1,0,2,My car was stolen in Montreal and later found with damage.,Claim details and visible damage are coherent.,normal,0
CLM-00706,POL-6840,CUST-3258,SHOP-026,2024-03-09,2024-03-14,2024-03-15,vandalism,right side,11927,Gatineau,0,0,32,My parked car was vandalized in Gatineau and the right side was damaged.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00256,POL-6253,CUST-4946,SHOP-011,2024-10-11,2024-12-05,2024-12-09,collision,right side,3151,Laval,0,0,2,I lost control briefly and damaged the right side of my vehicle in Laval.,Observed damage aligns with reported incident details.,normal,0
CLM-00696,POL-8582,CUST-9487,SHOP-015,2024-02-25,2024-03-06,2024-03-07,theft,front,8679,Gatineau,0,0,28,I discovered my vehicle missing in Gatineau and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00553,POL-9151,CUST-6194,SHOP-009,2025-01-26,2025-03-09,2025-03-10,theft,rear,7175,Sherbrooke,0,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00213,POL-3328,CUST-4084,SHOP-027,2025-05-19,2026-03-22,2026-03-24,collision,right side,1655,Montreal,0,0,2,I was driving in Montreal when another vehicle hit the right side of my car.,Claim details and visible damage are coherent.,normal,0
CLM-00089,POL-3419,CUST-4871,SHOP-004,2024-05-29,2025-03-17,2025-03-18,collision,rear,4484,Montreal,0,0,2,Another driver struck my vehicle on the rear while I was driving in Montreal.,Observed damage aligns with reported incident details.,normal,0
CLM-00779,POL-3969,CUST-5668,SHOP-009,2024-01-06,2025-03-27,2025-03-28,collision,right side,9841,Longueuil,1,0,37,I lost control briefly and damaged the right side of my vehicle in Longueuil.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00539,POL-7249,CUST-7581,SHOP-004,2025-09-24,2026-02-06,2026-02-07,vandalism,front,3657,Quebec City,1,1,2,I found damage on the front of my vehicle while parked in Quebec City.,Claim details and visible damage are coherent.,normal,0
CLM-00290,POL-4594,CUST-7730,SHOP-020,2024-05-26,2026-02-11,2026-02-12,vandalism,left side,2186,Sherbrooke,1,0,2,I found damage on the left side of my vehicle while parked in Sherbrooke.,Claim details and visible damage are coherent.,normal,0
CLM-00548,POL-2941,CUST-3366,SHOP-029,2024-05-13,2024-12-23,2024-12-24,vandalism,right side,3032,Longueuil,1,0,2,My parked car was vandalized in Longueuil and the right side was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00908,POL-6527,CUST-4954,SHOP-014,2025-04-25,2025-06-11,2025-06-13,theft,right side,6774,Gatineau,2,18,56,My car was stolen in Gatineau and later found with damage.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00344,POL-1396,CUST-5994,SHOP-006,2024-12-24,2025-12-04,2025-12-07,vandalism,rear,3604,Montreal,0,0,2,My parked car was vandalized in Montreal and the rear was damaged.,Claim details and visible damage are coherent.,normal,0
CLM-00324,POL-9899,CUST-8702,SHOP-006,2024-07-15,2025-04-27,2025-04-30,collision,front,2819,Quebec City,1,0,2,I was driving in Quebec City when another vehicle hit the front of my car.,Claim details and visible damage are coherent.,normal,0
CLM-00139,POL-2279,CUST-2838,SHOP-002,2025-07-14,2025-12-20,2025-12-21,vandalism,rear,2473,Longueuil,1,0,2,My parked car was vandalized in Longueuil and the rear was damaged.,Claim details and visible damage are coherent.,normal,0
CLM-00455,POL-1517,CUST-8051,SHOP-029,2024-05-01,2025-06-27,2025-06-30,theft,right side,8625,Quebec City,0,0,2,My car was stolen in Quebec City and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00177,POL-4043,CUST-8973,SHOP-021,2025-07-04,2026-01-27,2026-02-01,collision,rear,3805,Longueuil,0,0,2,I was driving in Longueuil when another vehicle hit the rear of my car.,Observed damage aligns with reported incident details.,normal,0
CLM-00796,POL-4318,CUST-6956,SHOP-022,2024-02-03,2025-04-16,2025-04-21,collision,left side,11658,Montreal,1,0,23,Another driver struck my vehicle on the left side while I was driving in Montreal.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00314,POL-7479,CUST-5444,SHOP-029,2025-03-31,2025-11-01,2025-11-06,vandalism,right side,3195,Laval,0,0,2,My parked car was vandalized in Laval and the right side was damaged.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00036,POL-8657,CUST-3091,SHOP-020,2025-06-30,2025-08-05,2025-08-08,vandalism,front,2143,Sherbrooke,1,0,2,My parked car was vandalized in Sherbrooke and the front was damaged.,Observed damage aligns with reported incident details.,normal,0
CLM-00728,POL-8138,CUST-5739,SHOP-025,2025-05-03,2025-05-07,2025-05-12,collision,front,11817,Montreal,1,0,28,Another driver struck my vehicle on the front while I was driving in Montreal.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00546,POL-1486,CUST-4262,SHOP-007,2024-10-17,2025-02-13,2025-02-14,theft,rear,7783,Gatineau,0,0,2,My car was stolen in Gatineau and later found with damage.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00686,POL-8775,CUST-8011,SHOP-011,2024-01-22,2024-01-25,2024-01-26,collision,rear,7142,Gatineau,1,0,28,I lost control briefly and damaged the rear of my vehicle in Gatineau.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00655,POL-2022,CUST-6922,SHOP-026,2025-03-16,2025-03-19,2025-03-22,collision,rear,10318,Sherbrooke,1,0,32,I lost control briefly and damaged the rear of my vehicle in Sherbrooke.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00155,POL-1280,CUST-9228,SHOP-027,2025-12-15,2026-03-10,2026-03-11,collision,front,3947,Laval,0,0,2,I was driving in Laval when another vehicle hit the front of my car.,Claim details and visible damage are coherent.,normal,0
CLM-00480,POL-2196,CUST-2561,SHOP-018,2024-03-01,2024-05-23,2024-05-25,collision,right side,2951,Gatineau,0,0,2,I was driving in Gatineau when another vehicle hit the right side of my car.,Observed damage aligns with reported incident details.,normal,0
CLM-00647,POL-1530,CUST-4937,SHOP-009,2024-03-28,2024-04-07,2024-04-09,collision,right side,9576,Montreal,1,0,37,I was driving in Montreal when another vehicle hit the right side of my car.,Limited visible damage. Estimate appears elevated given observed condition.,early_policy,1
CLM-00503,POL-2867,CUST-4714,SHOP-004,2025-07-29,2025-10-24,2025-10-27,theft,left side,11429,Longueuil,0,0,2,I discovered my vehicle missing in Longueuil and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00682,POL-6766,CUST-5351,SHOP-004,2025-07-17,2025-07-19,2025-07-23,theft,rear,10461,Quebec City,1,0,43,I discovered my vehicle missing in Quebec City and reported it immediately.,Claim filed shortly after policy inception. Damage appears less severe than estimated cost suggests.,early_policy,1
CLM-00427,POL-6680,CUST-7883,SHOP-015,2025-10-22,2025-11-23,2025-11-25,collision,front,1890,Laval,1,0,2,I lost control briefly and damaged the front of my vehicle in Laval.,Claim details and visible damage are coherent.,normal,0
CLM-00171,POL-1402,CUST-8909,SHOP-004,2024-10-29,2025-06-28,2025-06-28,collision,rear,3226,Longueuil,1,0,2,I lost control briefly and damaged the rear of my vehicle in Longueuil.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00228,POL-2654,CUST-5687,SHOP-028,2025-07-02,2026-03-14,2026-03-16,theft,left side,8137,Sherbrooke,1,0,2,I discovered my vehicle missing in Sherbrooke and reported it immediately.,Damage appears consistent with claimant statement. Estimate is within expected range.,normal,0
CLM-00875,POL-3105,CUST-2753,SHOP-014,2024-03-17,2024-10-14,2024-10-16,collision,rear,4142,Laval,4,21,56,I was driving in Laval when another vehicle hit the rear of my car.,Repeated entity pattern detected across recent claims.,repeated_entity,1
CLM-00808,POL-9955,CUST-5271,SHOP-018,2025-06-27,2026-02-21,2026-02-23,vandalism,front,11836,Montreal,1,0,34,I found damage on the front of my vehicle while parked in Montreal.,Repair estimate is significantly above expected range for the reported damage.,inflated_repair,1
CLM-00426,POL-3699,CUST-5521,SHOP-004,2025-12-14,2026-01-31,2026-02-03,collision,rear,3932,Sherbrooke,0,0,2,I lost control briefly and damaged the rear of my vehicle in Sherbrooke.,Observed damage aligns with reported incident details.,normal,0
